# source=https://pfseform.financnasprava.sk/Formulare/eFormVzor/DP/form.621.prijimatelia_2026.html
# source_last_modified=Wed, 17 Jun 2026 06:44:32 GMT
# generated_at=2026-06-30T15:35:09.541Z
ico;obchMeno;pravnaForma;mesto;ulica;supisneCislo;orientacneCislo;psc;stat;iban;kodBanky;nazovBanky
42153832;Zápasnícky Športový Klub - Gabčíkovo, o. z.;Občianske združenie;Gabčíkovo;Krajná;315;8;93005;SK;SK4802000000002421410859;0200;Všeobecná úverová banka, a.s.
42030765;Občianske združenie Studnička;Občianske združenie;Poprad;Fraňa Kráľa;2044;39;05801;SK;SK1631000000004310175103;3100;Prima banka Slovensko, a.s. (bývalá Sberbank Slovensko, a.s.)
55965229;Slovenské združenie 43;Občianske združenie;Bratislava - mestská časť Karlova Ves;Kresánkova;3581;7B;84105;SK;SK7375000000004035165655;7500;Československá obchodná banka, a.s.
31949827;Obecný futbalový klub 1934 Spišské Bystré;Občianske združenie;Spišské Bystré;Michalská;394;4;05918;SK;SK2711110000001440780009;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
30688841;Kvapka n.f.;Neinvestičný fond;Košice - mestská časť Barca;Nám. Mladých poľnohospodárov;2;;04017;SK;SK7175000000004009064834;7500;Československá obchodná banka, a.s.
54725551;FIGHT CLUB PÚCHOV;Občianske združenie;Púchov;Požiarna;1638;9;02001;SK;SK8709000000005195336091;0900;Slovenská sporiteľňa, a.s.
53500547;Daruj kúsok zdravia;Občianske združenie;Dunajská Lužná;Malinová;1845;12;90042;SK;SK7109000000005177330657;0900;Slovenská sporiteľňa, a.s.
52792561;Buď uchvátený knihou;Občianske združenie;Malý Lipník;;358;;06546;SK;SK0883300000002601773913;8330;Fio banka a.s
173196171359;SRRZ - RZ pri Strednej zdravotníckej škole Celestíny Šimurkovej;Občianske združenie;Trenčín;Veľkomoravská;2161;14;91134;SK;SK3609000000000041704020;0900;Slovenská sporiteľňa, a.s.
53656580;Rodinné kruhy;Občianske združenie;Turie;;628;;01312;SK;SK7083300000002601997837;8330;Fio banka a.s
31917321;Plavecký oddiel Univerzity Mateja Bela Banská Bystrica;Občianske združenie;Banská Bystrica;Mládežnícka;1901;47;97404;SK;SK6411000000002666130003;1100;Tatra banka, a.s.
51011859;"Centrum sociálnych služieb """"Johanka"""", n.o.";Nezisková organizácia poskytujúca všeobecne prospešné služby;Spišské Podhradie;Májová;715;26;05304;SK;SK8202000000003855855753;0200;Všeobecná úverová banka, a.s.
00688312;Klub slovenských turistov;Občianske združenie;Bratislava - mestská časť Nové Mesto;Záborského;870;33;83103;SK;SK4609000000000011484266;0900;Slovenská sporiteľňa, a.s.
42291569;Športový klub Bastille pri Ústave na výkon trestu odňatia slobody a Ústave na výkon väzby v Leopoldove;Občianske združenie;Leopoldov;priečinok 7, Gucmanova;670;19;92041;SK;SK7309000000005041892140;0900;Slovenská sporiteľňa, a.s.
001774745823;Dobrovoľný hasičský zbor Gánovce;Občianske združenie;Gánovce;Gánovská;184;;05801;SK;SK1783300000002501306680;8330;Fio banka a.s
50041983;Rodičovské združenie AMOSKO;Občianske združenie;Sereď;Komenského;1227;8;92601;SK;SK6609000000005117810480;0900;Slovenská sporiteľňa, a.s.
53491262;Žijeme len raz;Občianske združenie;Piešťany;Krajinská;2954;32;92101;SK;SK5083300000002802073016;8330;Fio banka a.s
34028803;AEROKLUB HOLÍČ;Občianske združenie;Holíč;Staničná;789;13;90851;SK;SK2409000000000037229044;0900;Slovenská sporiteľňa, a.s.
37821164;Občianske združenie učňovská mládež nového milénia;Občianske združenie;Lučenec;SOU stavebné, Dukelských hrdinov;;2;98401;SK;SK9311000000002669170043;1100;Tatra banka, a.s.
42289637;EKONÓM - ŽITNÝ OSTROV - CSALLÓKÖZ;Občianske združenie;Dunajská Streda;Ádorská;;;92901;SK;SK6909000000005225204170;0900;Slovenská sporiteľňa, a.s.
55102859;Tóny radosti;Občianske združenie;Bratislava - mestská časť Karlova Ves;Pod Rovnicami;710;9;84104;SK;SK3883300000002202473358;8330;Fio banka a.s
56621124;Občianske združenie Roháčik;Občianske združenie;Levice;Ul. Z. Nejedlého;1718;24;93405;SK;SK6983300000002303376565;8330;Fio banka a.s
37836111;Ars Boni;Občianske združenie;Voderady;;474;;91942;SK;SK3911000000002626804034;1100;Tatra banka, a.s.
51133911;Nadácia Mesta Žilina;Nadácia;Žilina;Námestie obetí komunizmu;3350;1;01131;SK;SK9275000000004025225335;7500;Československá obchodná banka, a.s.
42392195;Farma v údolí;Občianske združenie;Dubnica nad Váhom;Centrum II.;94;59;01841;SK;SK2311110000001536224007;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
42346452;Krajské centrum nepočujúcich ANEPS Žilina;Občianske združenie;Žilina;Kálov;357;17;01001;SK;SK3875000000004018646991;7500;Československá obchodná banka, a.s.
52124461;Pre moje kroky;Občianske združenie;Šemša;;285;;04421;SK;SK7783300000002201712564;8330;Fio banka a.s
36085111;Združenie na pomoc ľuďom s mentálnym postihnutím v Dunajskej Strede;Občianske združenie;Dunajská Streda;Komenského;359;33;92901;SK;SK5711110000001490028018;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
42090989;Športový klub VOUK;Občianske združenie;Snina;1.mája;748;29;06901;SK;SK7375000000004014901967;7500;Československá obchodná banka, a.s.
55128041;ČIERNA HVIEZDA;Občianske združenie;Tvrdošovce;Puškinova;1173;19;94110;SK;SK1702000000004893241853;0200;Všeobecná úverová banka, a.s.
37806467;Kultúrny prameň;Občianske združenie;Krásno nad Kysucou;;158;;02302;SK;SK3709000000005036302193;0900;Slovenská sporiteľňa, a.s.
55534996;Meduzaoz;Občianske združenie;Hlohovec;Koperníkova;2456;54;92001;SK;SK3809000000005206914505;0900;Slovenská sporiteľňa, a.s.
005987210913;Slovenský skauting, 101. zbor Veselé tváre Svit;Nezisková organizácia poskytujúca všeobecne prospešné služby;Svit;9. mája;255;5;059 21;SK;SK8883300000002602129433;8330;Fio banka a.s
53489136;Veronikino zdravie a šťastie;Občianske združenie;Oščadnica;;845;;023 01;SK;SK4011000000008014308758;1100;Tatra banka, a.s.
42045606;Ústredie diakonie Reformovanej kresťanskej cirkvi na Slovensku;Účelové zariadenie cirkvi a náboženskej spoločnosti;Komárno;Jókaiho ul.;15;34;94501;SK;SK5502000000004044831154;0200;Všeobecná úverová banka, a.s.
50708121;Plavecká akadémia, o.z.;Občianske združenie;Bratislava - mestská časť Devínska Nová Ves;Štefana Králika;6555;3;84107;SK;SK5502000000003844558358;0200;Všeobecná úverová banka, a.s.
42060672;Spolok katolíckeho domu;Občianske združenie;Turany;Ul.osloboditeľov;;;03853;SK;SK8183300000002900867055;8330;Fio banka a.s
56131089;Čvirik Šimi;Občianske združenie;Stará Huta;;27;;96225;SK;SK5983300000002103383891;8330;Fio banka a.s
42242622;Občianske združenie BGspich;Občianske združenie;Košice - mestská časť Staré Mesto;Tatranská;1235;1;04001;SK;SK1475000000004013988028;7500;Československá obchodná banka, a.s.
37953796;Mladí v technike;Občianske združenie;Revúca;Gen. Viesta;1199;6;05001;SK;SK7956000000001367510001;5600;Prima banka Slovensko, a.s.
55029612;Fit Ružinov o. z.;Občianske združenie;Bratislava - mestská časť Podunajské Biskupice;Komárovská;9913;69;82106;SK;SK5275000000004034335325;7500;Československá obchodná banka, a.s.
54092957;OZ auti MATY;Občianske združenie;Sľažany;;571;;95171;SK;SK2609000000005197550438;0900;Slovenská sporiteľňa, a.s.
42371635;Občianske združenie Krédo;Občianske združenie;Diakovce;;776;;92581;SK;SK3411110000001354420007;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
50115430;MYŠLIENKA n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Bratislava - mestská časť Ružinov;Kašmírska;4583;17;821 04;SK;SK7309000000005151886745;0900;Slovenská sporiteľňa, a.s.
52895831;Happy Autism;Občianske združenie;Košice - mestská časť Krásna;Vínna;1788;47;04018;SK;SK1811000000002944094322;1100;Tatra banka, a.s.
54831466;Rozvoj ducha a meditácie;Občianske združenie;Nitra;Misionárska;725;9;94901;SK;SK4983300000002702695467;8330;Fio banka a.s
50980050;Rodičovské združenie pri Materskej škole Zemianske Podhradie 117, 913 07;Občianske združenie;Zemianske Podhradie;;117;;91307;SK;SK8165000000000020583848;6500;365.bank
52130436;OZ ŠIMONKO;Občianske združenie;Trenčín;Šafárikova;2733;5;91108;SK;SK1483300000002901735732;8330;Fio banka a.s
36065021;Futbalový Club Slovan Modra;Občianske združenie;Modra;Kalinčiakova;567;6;90001;SK;SK5309000000005060777236;0900;Slovenská sporiteľňa, a.s.
42448778;Staráme sa;Občianske združenie;Zavar;Prílohy;588;47;91926;SK;SK7811110000001393914026;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
42115647;Strelecký klub - Nový Tekov;Občianske združenie;Nový Tekov;Šandorhálma;9;;93533;SK;SK7709000000005233414979;0900;Slovenská sporiteľňa, a.s.
36096725;Komunita - Ľudovítov n.o.;Občianske združenie;Palárikovo;Časť Ľudovítov, Šopy;;3;94111;SK;SK1511110000006619261025;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
54822700;Ekofórum vôd a životného prostredia;Občianske združenie;Malacky;Pezinská;1098;7;90101;SK;SK3383300000002402696580;8330;Fio banka a.s
52509826;ZSS Nižná Polianka, n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Nižná Polianka;Nižná Polianka;73;;08636;SK;SK5602000000004586223153;0200;Všeobecná úverová banka, a.s.
42262020;TK PROFI Senec;Občianske združenie;Senec;Nám.1.mája;43;;90301;SK;SK6311000000002944018725;1100;Tatra banka, a.s.
51970414;Ninka a detičky inak obdarené;Občianske združenie;Bratislava - mestská časť Podunajské Biskupice;Hronská;5152;22;82107;SK;SK4183300000002301523496;8330;Fio banka a.s
37904655;STONOŽKA;Občianske združenie;Námestovo;Mila Urbana;160;45;02901;SK;SK8309000000000322501393;0900;Slovenská sporiteľňa, a.s.
42067456;CPM - Centrum prevencie mládeže;Občianske združenie;Čadca;J.Kollára;2457;/22;02201;SK;SK3483300000002000592762;8330;Fio banka a.s
37788949;Odborový zväz Polície v Starej Ľubovni;Občianske združenie;Stará Ľubovňa;OR PZ, Okružná;;25;06401;SK;SK1875000000004007988021;7500;Československá obchodná banka, a.s.
55078532;Vanesskina cesta za zdravím;Občianske združenie;Bánovce nad Bebravou;Alexandra Dubčeka;1252;3;95704;SK;SK3609000000005210598795;0900;Slovenská sporiteľňa, a.s.
173196170696;SRRZ - RZ pri Základnej škole kardinála Alexandra Rudnaya;Občianske združenie;Považany;;216;;91626;SK;SK2856000000005824073002;5600;Prima banka Slovensko, a.s.
37814192;Združenie rodičov a priateľov ZŠ Hliny VIII Žilina;Občianske združenie;Žilina;ZŠ Hliny VIII, Lichardova;;24;01001;SK;SK9856000000004799378001;5600;Prima banka Slovensko, a.s.
34004475;ŠK Trenčín, Šachový klub;Občianske združenie;Trenčín;Kultúrne a metodické centrum, Hviezdoslavova;16;;91101;SK;SK4556000000000650584001;5600;Prima banka Slovensko, a.s.
42163501;Cesta domov;Občianske združenie;Dolné Orešany;;390;;91902;SK;SK1283300000002100531094;8330;Fio banka a.s
52466060;K.O. Karpatský Sokol;Občianske združenie;Pezinok;Rozálka;6333;7;90201;SK;SK1883300000002701679756;8330;Fio banka a.s
42204569;Občianske združenie PARÁDA;Občianske združenie;Nitra;Rybárska;1272;17;94901;SK;SK8975000000004020906852;7500;Československá obchodná banka, a.s.
50675796;Šachový klub Gbely;Občianske združenie;Gbely;Záhumenice;;1463;908 45;SK;SK4583300000002601288926;8330;Fio banka a.s
53073509;BIOTOP HRADOVÁ o. z.;Občianske združenie;Košice - mestská časť Sever;Zoborská;955;23;04001;SK;SK7202000000004705639953;0200;Všeobecná úverová banka, a.s.
55855903;NAŠA MLYNICA;Občianske združenie;Mlynica;;169;;05991;SK;SK8175000000004032954202;7500;Československá obchodná banka, a.s.
42020760;1. Wheelchair Curling Club;Občianske združenie;Dubnica nad Váhom;Centrum I;77;12;01841;SK;SK1875000000004004541320;7500;Československá obchodná banka, a.s.
42317991;DB pretekársky tím;Občianske združenie;Čerín;;73;;97401;SK;SK4983300000002400904411;8330;Fio banka a.s
42403642;JAŠKOVO;Občianske združenie;Sládkovičovo;Fučíkova;721;286;92521;SK;SK0609000000005072565134;0900;Slovenská sporiteľňa, a.s.
51264676;Pro Impulz;Občianske združenie;Modra;Kollárova;1575;3;90001;SK;SK6283300000002301730989;8330;Fio banka a.s
42417856;Športový klub Família;Občianske združenie;Nitra;Murániho;35;22;94911;SK;SK5575000000004022875885;7500;Československá obchodná banka, a.s.
42359520;Priatelia turistiky a rekreačného športu;Občianske združenie;Bratislava - mestská časť Ružinov;Záhradnícka;4845;93;82108;SK;SK5983300000002900867936;8330;Fio banka a.s
30786801;Slovenská národná federácia AIKIDO;Občianske združenie;Bratislava - mestská časť Devínska Nová Ves;M. Marečka;;9;84108;SK;SK8711000000002629742270;1100;Tatra banka, a.s.
53013727;POTVORA;Občianske združenie;Púchov;Okružná;1421;38;02001;SK;SK6983300000002301901098;8330;Fio banka a.s
54059321;Atletika Inter Bratislava, o.z;Občianske združenie;Bratislava - mestská časť Petržalka;Černyševského;3427;26;85101;SK;SK9783300000002102057314;8330;Fio banka a.s
42399581;Folklórna Spevácka skupina BLAVANKA Jaslovské Bohunice;Občianske združenie;Jaslovské Bohunice;Sídlisko;338;10;91930;SK;SK3765000000000020546422;6500;365.bank
42104513;Tenisový klub Čingov 2008;Občianske združenie;Smižany;Nálepkova;1314;9;05311;SK;SK4809000000005175774318;0900;Slovenská sporiteľňa, a.s.
53755766;Trnava Hornets Academy;Občianske združenie;Trnava;Priemyselná ulica;2677;10;917 01;SK;SK0311000000002945182156;1100;Tatra banka, a.s.
52864758;INFIRELA;Občianske združenie;Slovenský Grob;Južná;1796;55A;90026;SK;SK8283300000002001893735;8330;Fio banka a.s
42009065;Rodičia a priatelia ZŠ Jozefa Horáka v Banskej Štiavnici;Občianske združenie;Banská Štiavnica;Pavla Dobšinského;972;17;96922;SK;SK7856000000001432132001;5600;Prima banka Slovensko, a.s.
52730263;Občianske združenie Montekid;Občianske združenie;Kútniky;;147;;92901;SK;SK9511110000001620862001;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
37985183;Veslársky klub Sĺňava Piešťany;Občianske združenie;Piešťany;Rekreačná;3463;5;92101;SK;SK7511000000002626739754;1100;Tatra banka, a.s.
35553219;Hokejový klub Dukla Michalovce - mládež;Občianske združenie;Michalovce;Športová;3254;1;07101;SK;SK8609000000000482165085;0900;Slovenská sporiteľňa, a.s.
37880004;Združenie šíriace kresťanskú kultúru;Občianske združenie;Vranov nad Topľou;Nám. P.P.Gojdiča;;327;09301;SK;SK9609000000005163469877;0900;Slovenská sporiteľňa, a.s.
42334667;Fighting gym Topoľčany;Občianske združenie;Topoľčany;Podjavorinskej;1942;6;95501;SK;SK8302000000003237897059;0200;Všeobecná úverová banka, a.s.
50746391;Športový Klub Revištské Podzámčie;Občianske združenie;Žarnovica;Revištské Podzámčie;;6;96681;SK;SK1609000000005165420823;0900;Slovenská sporiteľňa, a.s.
001781520388;Slovenský zväz záhradkárov Základná organizácia 13-18 Holíč Boričky;Občianske združenie;Holíč;D. Rapanta;1535;8;90851;SK;SK8802000000002288248054;0200;Všeobecná úverová banka, a.s.
56502184;"„OZ Náš Rafael""""";Občianske združenie;Lendak;Partizánska;152;26;05907;SK;SK0683300000002003358736;8330;Fio banka a.s
50699822;Občianske združenie RA2Ňski;Občianske združenie;Banská Bystrica;Poľná;5954;9;97405;SK;SK9775000000004024485135;7500;Československá obchodná banka, a.s.
36079685;Vzdelávacie združenie GAUDEAMUS;Občianske združenie;Sereď;Kostolná;119;8;92600;SK;SK8402000000001216170855;0200;Všeobecná úverová banka, a.s.
52893120;Víkendové o.z.;Občianske združenie;Banská Bystrica;Komenského;479;11;97401;SK;SK2683300000002901893044;8330;Fio banka a.s
42254809;alumni FMFI;Občianske združenie;Bratislava - mestská časť Karlova Ves;Mlynská Dolina;2671;1;84248;SK;SK8483300000002300185480;8330;Fio banka a.s
42175968;Deti a my;Občianske združenie;Reca;;74;;92526;SK;SK3211000000002925830910;1100;Tatra banka, a.s.
51242290;ZA LEPŠÍ ŽIVOT S ENDOMETRIÓZOU;Občianske združenie;Trnava;Ulica Pavla Mudroňa;7540;10;91701;SK;SK1311110000001475194018;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
50207156;VOLEJBALOVÝ KLUB PODLUŽIANKA;Občianske združenie;Levice;Mlynská;;2;93401;SK;SK9811000000002943021711;1100;Tatra banka, a.s.
55754473;ANOSK 46;Občianske združenie;Bratislava - mestská časť Karlova Ves;Kresánkova;3581;7B;84105;SK;SK2675000000004034557729;7500;Československá obchodná banka, a.s.
37919741;Klub prívlače;Občianske združenie;Púchov;1.mája;901;15;02001;SK;SK9856000000007207403001;5600;Prima banka Slovensko, a.s.
55966675;Rovnosť v akcii;Občianske združenie;Bratislava - mestská časť Ružinov;Miletičova;550;1;82108;SK;SK6683300000002303382439;8330;Fio banka a.s
42291836;SPORTFANATIC;Občianske združenie;Dunajská Streda;Nová Osada;830;2;92901;SK;SK2411000000002927886969;1100;Tatra banka, a.s.
31752853;Inštitút vzdelávania Apoštolskej cirkvi na Slovensku;Účelové zariadenie cirkvi a náboženskej spoločnosti;Bratislava - mestská časť Nové Mesto;Sreznevského;539;2;83103;SK;SK0511000000002625753263;1100;Tatra banka, a.s.
